"PlotVisit","PlotID","Date","Latitude","Longitude","GDMforb","GDMgrass","GDMshrub","GDMherb","GDMtotal","cc","cti","elev","gsri","slope","Year","cover_class","ndvi_dur","ndvi_ti","sum_precip","class_name","cc_std","cti_std","elev_std","gsri_std","ndvi_ti_std","sum_precip_std","slope_std","ndvi_dur_std"
"19.2015-07-23",19,2015-07-23,46.46484,-113.844,0,0.242,52.68,0.242,52.922,36.7451254716046,5.76516399113028,2033.08811030069,532682.332642805,14.7743774038002,2015,"1",294.74985585438,40.1959061180371,136.72678236759,"Mesic Forest (Burn >15)",0.897393749390364,-0.283922408447531,1.60452319598851,-0.492333764398305,0.687801609781135,-0.0599840911372316,-0.0684820541582321,1.68857668999831
"191.2015-08-04",191,2015-08-04,46.50952,-113.85642,0,0.28,27.913,0.28,28.193,29.6394288790888,6.14789859072896,1820.22621375411,533277.778246886,11.7937298420228,2015,"1",NA,24.8061351847154,124.803417050831,"Mesic Forest (Burn >15)",0.534814030664551,-0.0605524779512356,0.964154026767741,-0.481531915502058,-0.55623239977826,-0.546778551914108,-0.396701525842276,NA
"193.2015-08-04",193,2015-08-04,46.50922,-113.85912,0,0.058,63.998,0.058,64.056,40.5274615044296,6.99895857086163,1839.58805084196,547334.139130207,9.72509089702244,2015,"1",NA,17.7113771324635,124.348461076419,"Mesic Forest (Burn >15)",1.09039359353691,0.436139508636197,1.02240176265512,-0.226538537010358,-1.12973803185279,-0.565353009909596,-0.624493496399222,NA
"195.2015-08-04",195,2015-08-04,46.51026,-113.85789,0,0,10.549,0,10.549,35,7.08222399979358,1805.45089186942,538323.32296336,10.8141456786,2015,"1",NA,23.6118640693227,124.407003063485,"Mesic Forest (Burn >15)",0.80834588555361,0.484734522237726,0.919704264956113,-0.3900017887314,-0.652771450984419,-0.562962920008823,-0.504570232197129,NA
"20.2015-07-21",20,2015-07-21,46.75143,-113.88459,0,3.032,217.102,3.032,220.134,47.5381151822113,7.28981666210102,1905.32254105349,653150.220526699,18.6376906717106,2015,"1",222.567762951845,50.1351407029627,110.620058436483,"Mesic Forest (Burn >15)",1.44812359304907,0.60588886417539,1.2201559947128,1.69304792765282,1.49124084914399,-1.12584161215364,0.356933770243143,-0.0593557934260676
"207.2014-08-26",207,2014-08-26,46.75041,-113.88361,0,4.457,32.463,4.457,36.92,44.6870432638225,8.70661314398126,1865.86971944416,638101.447456484,15.8623687870231,2014,"1",186.044890091253,53.0802390786324,172.244005610531,"Mesic Forest (Burn >15)",1.30264301408299,1.43275356889982,1.10146697141992,1.42005141602495,1.72930823537768,1.39007527360751,0.0513241119841519,-0.943778969506695
"208.2014-08-26",208,2014-08-26,46.76282,-113.88194,0,5.649,69.157,5.649,74.806,2.07985510409409,6.36738277750988,2060.86319435044,619402.509253887,7.13763121297691,2014,"1",184.323132078589,57.3261250093473,174.947184863685,"Mesic Forest (Burn >15)",-0.871458018449637,0.0675419446530892,1.68808116379082,1.08083805446809,2.07252494220225,1.50043779727126,-0.909416363963862,-0.985472367937177
"209.2014-08-26",209,2014-08-26,46.76299,-113.87981,0,31.237,66.066,31.237,97.303,0,5.04432396131454,2084.98052864431,651285.73943382,10.9319522129107,2014,"1",176.544995325671,60.8026049695232,175.581418342011,"Mesic Forest (Burn >15)",-0.97758600587696,-0.704615984433918,1.7606352355911,1.65922478260457,2.35354662360015,1.52633160626615,-0.491597749657349,-1.17382459415067
"21.2015-07-21",21,2015-07-21,46.74842,-113.88261,0.341,10.448,29.368,10.789,40.157,36.5968398191874,4.32917508858414,1828.70420282,639330.165832657,20.3247867676664,2015,"1",222.729367176959,54.4791811701083,110.822468097746,"Mesic Forest (Burn >15)",0.889827232941982,-1.12198811165679,0.989659027441261,1.44234132822597,1.84239188988693,-1.11757784606975,0.542711450367324,-0.0554424506123857
"210.2014-08-26",210,2014-08-26,46.75955,-113.88116,0,0,7.367,0,7.367,45.3394341419732,7.50457698328558,1975.91999463938,566540.410536892,25.3623093282894,2014,"1",227.413456287378,55.6232234093196,174.827065242083,"Mesic Forest (Burn >15)",1.33593231908207,0.731226364538978,1.43253986160185,0.121878245603001,1.93487068376357,1.49553368128782,1.0974274841067,0.057985564316609
"222.2015-08-28",222,2015-08-28,46.64297,-113.76458,0,0,18.249,0,18.249,30.812221921403,6.14989656781982,1805.32183440754,557443.149532312,14.9034756438221,2015,"1",194.499141564454,44.3096037501331,118.573002117623,"Mesic Forest (Burn >15)",0.594657701987887,-0.0593864271045462,0.9193160112527,-0.0431531830743383,1.02033285937179,-0.801147297419538,-0.0542661647392099,-0.739054221597262
"223.2015-08-28",223,2015-08-28,46.64416,-113.76387,2.948,0.058,7.652,3.006,10.658,40.7702994639625,5.45260462747946,1778.05880816818,532105.764334839,19.0604592950215,2015,"1",214.956028921129,46.780600367151,118.436353297121,"Mesic Forest (Burn >15)",1.10278479514776,-0.466336967799772,0.837298507196873,-0.50279316438098,1.2200761721472,-0.806726249932106,0.403487712402257,-0.243678478353477
"231.2015-08-19",231,2015-08-19,46.32373,-113.89344,0,0,30.478,0,30.478,47.3278710901446,6.39599647448482,2385.61774707558,675470.565769395,11.5192929794889,2015,"1",176.643227648228,68.9064374724237,143.029784657838,"Mesic Forest (Burn >15)",1.43739554650602,0.0842413481333008,2.66506580267263,2.09795644485584,3.00862091190895,0.197348173675966,-0.426921644177163,-1.17144583980017
"232.2015-08-19",232,2015-08-19,46.32465,-113.88433,0,3.003,64.602,3.003,67.605,35.6105961112229,6.39798793309685,2438.08775354829,666318.561811512,10.4314205137334,2015,"1",225.42823013139,76.0253556878433,143.919067879214,"Mesic Forest (Burn >15)",0.839502544634078,0.0854035946932431,2.82291544602854,1.93193193619663,3.58407953371849,0.233654881952273,-0.546714715504575,0.00991212746462093
"233.2015-08-19",233,2015-08-19,46.32622,-113.88708,0,9.297,31.003,9.297,40.3,61.4492945162802,4.93024721649361,2416.62911692062,464250.826566546,27.6472089036886,2015,"1",231.889694184187,74.337104507969,143.327467838918,"Mesic Forest (Burn >15)",2.15796413076688,-0.77119296646955,2.75835974332735,-1.73373479803041,3.44760954377893,0.209501665560734,1.34903339052303,0.166380337988972
"234.2015-08-19",234,2015-08-19,46.3257,-113.89254,23.264,0.264,58.447,23.528,81.975,53.8587941161756,4.81795006978298,2396.64846935884,449482.106418995,29.0099904724217,2015,"1",NA,71.1017917678528,142.765701820046,"Mesic Forest (Burn >15)",1.77064650972507,-0.836731347065366,2.69825039126758,-2.00165093063987,3.18608264401522,0.186566480822649,1.4990985818077,NA
"235.2015-08-19",235,2015-08-19,46.32475,-113.89033,1.3,2.479,32.76,3.779,36.539,32.5361860778537,5.58458688639485,2415.20520675962,670866.374274751,8.7943209999338,2015,"1",232.997977512731,71.3614801986777,143.222175026416,"Mesic Forest (Burn >15)",0.682625775321848,-0.389310046189896,2.75407608250484,2.01443281066719,3.20707458997952,0.205202882748645,-0.726986930309157,0.193218080604939
"237.2014-08-29",237,2014-08-29,46.2986,-113.8753,0,0,36.737,0,36.737,36.3375281132429,5.22956584120833,2533.93195221291,593349.258217623,10.0675755466456,2014,"1",221.42888798337,50.616405598811,200.360500930347,"Mesic Forest (Burn >15)",0.876595431642911,-0.596505910559581,3.11125107992657,0.60821170703899,1.5301439556708,2.53798560047702,-0.586780171214211,-0.0869343308708442
"238.2014-08-29",238,2014-08-29,46.3009,-113.87283,1.09,0,55.238,1.09,56.328,34.9543032464729,5.69510970578184,2530.22656707709,591277.580170952,12.0289895876679,2014,"1",187.313014258386,57.2620823982001,199.983508976312,"Mesic Forest (Burn >15)",0.806014134426212,-0.324807190919919,3.10010387866807,0.57062984722102,2.06734804992274,2.52259417447384,-0.370795467570114,-0.913070585534783
"239.2014-08-29",239,2014-08-29,46.29751,-113.87439,0,1.229,98.948,1.229,100.177,36.0601215044067,4.96005036654951,2538.62616113106,677745.291237581,20.3238422867791,2014,"1",175.698771643811,55.5778016556186,200.87829402408,"Mesic Forest (Burn >15)",0.862440308511077,-0.753799379468172,3.12537303746728,2.13922174368309,1.93119901076579,2.55912550545867,0.542607447122586,-1.19431640593234
"24.2015-07-21",24,2015-07-21,46.74804,-113.88482,0,27.268,97.269,27.268,124.537,29.4774747284337,5.54603399504039,1796.98340629453,554594.753310618,23.059752649069,2015,"1",224.66869972862,54.7469364856075,110.834631182306,"Mesic Forest (Burn >15)",0.526550056875851,-0.411810119795225,0.894230862759894,-0.0948253179805071,1.86403592345732,-1.117081264607,0.843877233326427,-0.00848035479469983
"240.2014-08-29",240,2014-08-29,46.29958,-113.87552,0.173,0.182,19.376,0.355,19.731,30.4042214185945,5.11176957091857,2510.26621643442,547361.350605647,19.4610012593123,2014,"1",259.230661062517,49.9012361672013,200.104824529189,"Mesic Forest (Burn >15)",0.573838813139738,-0.66525366614514,3.04005558742491,-0.226044899566517,1.47233314748045,2.52754711666575,0.447594125247803,0.828458177701835
"26.2014-08-28",26,2014-08-28,46.75592,-113.84168,0,8.056,75.854,8.056,83.91,33.8275858246409,4.21923487641241,1727.558276469,561682.702262479,25.744443335245,2014,"1",176.825996321438,49.808027959316,180.079566111527,"Mesic Forest (Burn >15)",0.748521546532492,-1.18615094819494,0.685373789555673,0.0337556187793285,1.46479865063305,1.70997719287572,1.13950687097681,-1.16701998723746
"266.2014-07-24",266,2014-07-24,46.53437,-113.83934,0,5.761,42.646,5.761,48.407,25,6.33292462601614,1965.91153637633,636815.604995253,7.6565708694895,2014,"1",171.75113964118,26.3002924556114,173.396387511638,"Mesic Forest (Burn >15)",0.298079630859162,0.0474316256167177,1.40243063018435,1.39672522824997,-0.435452014632928,1.43712349458001,-0.852272372141196,-1.28991067221832
"27.2014-08-28",27,2014-08-28,46.75481,-113.84254,0,8.149,154.314,8.149,162.463,25,5.80273739976203,1722.85182793483,593342.701961813,19.4322460771533,2014,"1",174.223576852542,49.2424506960971,179.779919952869,"Mesic Forest (Burn >15)",0.298079630859162,-0.261993976360688,0.671215010616331,0.608092771431606,1.41908014361132,1.69774355863297,0.444427695637857,-1.23003912872065
"28.2014-08-28",28,2014-08-28,46.75267,-113.84751,0,2.119,704.762,2.119,706.881,26.9040814462355,4.43042016404481,1816.785434704,510786.646133802,25.0184079573352,2014,"1",176.857983041629,49.8712564237282,178.872450533337,"Mesic Forest (Burn >15)",0.395238481679541,-1.06289989362671,0.953802860788592,-0.889538640089187,1.46990973126198,1.66069436362661,1.05955815405458,-1.16624540970703
"29.2014-08-28",29,2014-08-28,46.75507,-113.84368,0,6.501,656.857,6.501,663.358,32.2625949902911,4.27881404393219,1764.588682778,568721.763971561,27.3134950619553,2014,"1",174.555975766702,49.6770428949544,179.742368933885,"Mesic Forest (Burn >15)",0.668665345365011,-1.15137960919953,0.796775270556817,0.16144970272535,1.45421045698701,1.69621046562172,1.31228587893127,-1.22198989052109
"348.2015-07-23",348,2015-07-23,46.774878,-113.99663,0.625,15.5,0,16.125,16.125,34.9804378539829,5.81734547932081,1325.78567253894,410509.855385379,32.4503007115123,2015,"1",248.815513305672,27.2233469141662,112.430366726222,"Mesic Forest (Burn >15)",0.807347695255415,-0.253468471430771,-0.52331030453753,-2.70863804067345,-0.360836794946238,-1.05193227327727,1.87793465205753,0.576249155327875
"35.2015-08-20",35,2015-08-20,46.75543,-113.89018,0.519,22.69,0,23.209,23.209,25,4.63763886878349,2083.00869266856,649574.747139708,19.4506540344885,2015,"1",203.671574635306,52.8866999104964,110.314543454481,"Mesic Forest (Burn >15)",0.298079630859162,-0.941963799206331,1.75470320648623,1.62818604439412,1.71366347312708,-1.13831485246557,0.446454721613298,-0.516938277436057
"37.2015-08-20",37,2015-08-20,46.75664,-113.88744,0.497,34.642,0,35.139,35.139,35,4.31398258029881,2123.54757249178,665556.888668379,22.4117147525346,2015,"1",189.755399265821,54.0944760331063,110.283676678576,"Mesic Forest (Burn >15)",0.80834588555361,-1.13085469838115,1.87665950404207,1.91811458975212,1.81129420323804,-1.13957504831915,0.772517352084739,-0.85392677410098
"41.2015-08-19",41,2015-08-19,46.3187,-113.89884,6.561,7.187,0,13.748,13.748,24.1086530401609,3.87084703632357,2324.43016348801,626384.51273179,34.8144990015763,2015,"1",209.214380974727,73.4644787181766,142.893456138022,"Mesic Forest (Burn >15)",0.252597203376122,-1.38947556976821,2.48099038708962,1.207497057481,3.37707073167941,0.191782298058684,2.13827268184405,-0.382715912020779
"42.2015-08-19",42,2015-08-19,46.31865,-113.89635,19.221,11.05,49.711,30.271,79.982,45,6.26925980618659,2242.47134505471,662012.226682686,26.4120680755108,2015,"1",202.40716380053,69.6809276450883,143.468747248776,"Mesic Forest (Burn >15)",1.31861214024806,0.0102758356899739,2.23442723359934,1.85381164940747,3.07122691943425,0.215269670843926,1.2130235934311,-0.547556740847515
"425.2014-08-27",425,2014-08-27,46.7585,-113.84092,0,0.193,32.31,0.193,32.503,11.3341322875563,4.85626918690877,1749.30224756381,541479.942777006,26.7627323751128,2014,"1",178.943718536655,50.1948395469303,180.569460319571,"Mesic Forest (Burn >15)",-0.399243482618682,-0.814367707775785,0.750787886354774,-0.332738236836495,1.49606661247398,1.72997807186475,1.25163763577202,-1.11573807919074
"427.2014-08-27",427,2014-08-27,46.74941,-113.84135,2.065,1.92,757.347,3.985,761.332,22.6698381775022,5.2800848575016,1825.21137853036,628292.599682577,13.6184571509554,2014,"1",216.619175174235,37.9659872464986,178.633600700504,"Mesic Forest (Burn >15)",0.179179336259367,-0.567022218282997,0.979151289678515,1.24211124689148,0.507545845951297,1.65094285702661,-0.195768332335768,-0.20340439868089
"428.2014-08-27",428,2014-08-27,46.74943,-113.84239,7.716,4.371,40.088,12.087,52.175,24.9786873312319,5.0019435987207,1836.60767846382,626380.050769814,18.1575748091105,2014,"1",223.831042719548,35.5173686286302,178.553914233042,"Mesic Forest (Burn >15)",0.296992117292176,-0.729349830438229,1.0134356742442,1.20741611400152,0.309611461465229,1.6476895027991,0.304064931675805,-0.0287647194791895
"429.2014-08-27",429,2014-08-27,46.74632,-113.84281,0,0,53.965,0,53.965,47.143232929654,6.94917968265923,1853.36278156873,601216.655595051,2.36278156873304,2014,"1",255.895111923415,29.1390816640109,177.749575669404,"Mesic Forest (Burn >15)",1.4279740842433,0.407087766751321,1.06384136746394,0.750932447766941,-0.20597814289565,1.61485082454293,-1.43520768786997,0.747685863463633
"43.2015-08-19",43,2015-08-19,46.31702,-113.90178,0,0.237,0,0.237,0.237,54.2143168337223,5.03263828616458,2272.56633377209,677358.276130163,25.6367461908233,2015,"1",184.779072589234,66.4325175483937,142.213735177519,"Mesic Forest (Burn >15)",1.78878763427921,-0.711435928198569,2.32496435290214,2.13220098698888,2.80864129325482,0.164031374585612,1.12764760244159,-0.974431496205421
"509.2014-08-26",509,2014-08-26,46.51624,-113.85493,4.133,0,132.452,4.133,136.585,36.8131212743178,7.35617741536507,1805.08811030069,525231.282608057,13.744443335245,2014,"1",167.45724239566,17.7940181580759,168.199597372849,"Mesic Forest (Burn >15)",0.900863345748905,0.644618043245732,0.918612880656964,-0.6275016387466,-1.12305773447266,1.22495448137141,-0.181895132640081,-1.39388995813436
"675.2014-07-15",675,2014-07-15,46.47511,-113.90041,4.184,7.601,333.076,11.785,344.861,27.4285973865882,5.99780230142708,1812.46182682273,614024.898874921,4.33331974062145,2014,"1",192.829629035952,30.7439440813679,151.669813009027,"Mesic Forest (Burn >15)",0.42200276012067,-0.148151032522123,0.940795811467488,0.983283996904607,-0.0762488937400904,0.550094049574121,-1.21821826382522,-0.779482464430191
"678.2014-07-15",678,2014-07-15,46.47577,-113.89534,11.144,46.975,0,58.119,58.119,35,7.25943207929498,1800.10710598651,608316.437242979,7.22515035575613,2014,"1",189.420346284374,34.8384342267948,153.643428026387,"Mesic Forest (Burn >15)",0.808345885553611,0.588155943878507,0.903628133991144,0.879728038886609,0.254729716324086,0.630670701604267,-0.899779033078588,-0.86204028212478
"10.2014-08-29",10,2014-08-29,46.57791,-113.82738,0,0.918,157.592,0.918,158.51,26.1248942816486,5.46769921008383,1969.59756907393,639121.0474633,11.7749685617113,2014,"2",170.049469436335,25.8594157431722,182.711710026773,"Dry Forest (Burn >15)",0.355479190061565,-0.457527532042604,1.41351961198231,1.43854775747536,-0.471090337430158,1.81743956141594,-0.398767458625113,-1.33111763238698
"1016.2015-08-26",1016,2015-08-26,46.45785,-113.76855,0.025,22.672,20.928,22.697,43.625,24.8124197963126,4.33050815902121,1404.31117463787,547462.793459963,37.1179254517781,2015,"2",NA,24.4646111256011,133.275862866364,"Dry Forest (Burn >15)",0.288508046060125,-1.12121011078834,-0.287075866352226,-0.224204646860956,-0.583839538731906,-0.200874557306404,2.39191870905078,NA
"1018.2015-08-26",1018,2015-08-26,46.457755,-113.7694,0,4.875,11.422,4.875,16.297,29.1571857731145,4.31951675241743,1440.66778443587,581872.966888348,23.7186405132152,2015,"2",116.679110479016,27.4574644608308,133.089858457534,"Dry Forest (Burn >15)",0.510206792310779,-1.12762486851266,-0.177701420339377,0.400022807870987,-0.341911874520374,-0.208468547215577,0.916431878646566,-2.62351274483515
"1019.2015-08-26",1019,2015-08-26,46.45834,-113.76865,2.82,0.648,63.664,3.468,67.132,27.9194179868185,4.29827481293754,1435.29229444009,557274.665549006,37.6376906717106,2015,"2",NA,25.01107452334,132.975194172963,"Dry Forest (Burn >15)",0.447047679061309,-1.14002199840425,-0.193872929278253,-0.0462096142859123,-0.539666103356421,-0.213149938508639,2.44915360930322,NA
"1022.2015-07-28",1022,2015-07-28,46.41864,-113.69937,1.572,27.177,0,28.749,28.749,41.1808344139243,6.26843756231758,1648.42249001024,516701.840811735,22.9812387196885,2015,"2",316.463817159163,28.0455451330917,140.26305136812,"Dry Forest (Burn >15)",1.12373300828158,0.00979596123894776,0.447303384976984,-0.782232382951756,-0.294374301685355,0.0843909334923877,0.835231528026826,2.21439322956163
"1023.2015-07-28",1023,2015-07-28,46.41848,-113.70033,0.034,10.35,0,10.384,10.384,44.8885759956023,6.12796872959832,1616.39255594169,475701.021659012,25.812137799358,2015,"2",314.391062289958,28.2375524549826,140.313455037637,"Dry Forest (Burn >15)",1.31292654930735,-0.072183858286899,0.350945217533952,-1.52601930500535,-0.278853366412724,0.0864487608315389,1.14696117101953,2.16420023265102
"1036.2015-07-17",1036,2015-07-17,46.55299,-113.8561,3.963,12.793,33.925,16.756,50.681,54.1717321894217,5.01799706790144,1769.57829134562,587975.022970534,27.0489331838015,2015,"2",186.567746291243,25.4459599822558,123.412866438766,"Dry Forest (Burn >15)",1.78661468358373,-0.71998077339743,0.811785902074332,0.51071887700711,-0.504512084268155,-0.603550471368047,1.28315316260852,-0.931117694398514
"1037.2015-07-17",1037,2015-07-17,46.55295,-113.8577,0.184,11.805,12.727,11.989,24.716,43.6886568551052,6.30927460350158,1710.36396045513,598995.671866852,21.538526500244,2015,"2",187.331132402043,24.7050117351245,123.009861639652,"Dry Forest (Burn >15)",1.25169872473159,0.0336291006010738,0.633646777630289,0.710642066129089,-0.564406726153883,-0.620003922106467,0.67636462657545,-0.912631843866806
"1039.2015-07-17",1039,2015-07-17,46.5524,-113.85568,10.068,12.363,5.603,22.431,28.034,39.2396908307364,4.28098333635952,1763.17897247528,633714.476395885,25.3516087804893,2015,"2",188.802561887374,26.5605879199869,123.492955614374,"Dry Forest (Burn >15)",1.02468300167984,-1.15011357602869,0.79253432828373,1.34046833037617,-0.414410999037561,-0.600280675801236,1.0962491736648,-0.877000300210242
